QuestionType,Question,QuestionID,Answer_Participant_0_condition_A,Answer_Participant_0_condition_A,Answer_Participant_3109_condition_A,Answer_Participant_3136_condition_B,Answer_Participant_3148_condition_A,Answer_Participant_3154_condition_B,Answer_Participant_3133_condition_A,Answer_Participant_3118_condition_B,Answer_Participant_3115_condition_A,Answer_Participant_3127_condition_B,Answer_Participant_3142_condition_A,Answer_Participant_3124_condition_B,Answer_Participant_3130_condition_A,Answer_Participant_3178_condition_A,Answer_Participant_3109_condition_B,Answer_Participant_3136_condition_A,Answer_Participant_3118_condition_A,Answer_Participant_3139_condition_B,Answer_Participant_3133_condition_B,Answer_Participant_3100_condition_A,Answer_Participant_3154_condition_A,Answer_Participant_3127_condition_A,Answer_Participant_3127_condition_A,Answer_Participant_3148_condition_B,Answer_Participant_3124_condition_A,Answer_Participant_3115_condition_B,Answer_Participant_3130_condition_A
radio,I felt out of my body.,q1,5,5,6,2,4,5,4,5,6,2,1,6,6,2,2,3,5,7,5,5,3,1,2,4,5,6,3
radio,I felt as if my (real) body were drifting toward the virtual body or as if the virtual body were drifting toward my (real) body.,q2,5,5,5,3,6,5,4,3,6,3,1,6,6,5,2,4,7,7,4,3,3,1,5,3,6,6,4
radio,I felt as if the movements of the virtual body were influencing my own movements.,q3,5,6,7,6,6,4,3,5,6,2,7,7,6,4,5,5,6,7,3,4,3,1,6,3,5,7,3
radio,It felt as if my (real) body were turning into an 'avatar' body.,q4,5,7,7,6,6,3,5,4,6,3,6,6,6,6,5,3,4,7,4,4,2,1,6,6,6,7,3
radio,It felt as if my real body was starting to take on the posture or shape of the virtual body that I saw.,q5,5,5,4,3,5,5,2,2,5,3,7,1,5,5,2,2,5,7,3,3,2,1,6,5,2,7,3
radio,I felt like I was wearing different clothes from when I came to the laboratory.,q6,5,6,5,5,6,5,3,7,5,4,7,6,6,2,6,3,7,7,5,5,3,1,6,5,5,7,3
radio,I felt as if my body was stronger.,q7,5,6,7,5,5,5,2,6,6,1,7,5,6,3,7,2,4,7,4,4,6,1,6,6,5,6,4
radio,I felt a realistic sensation in my body when I broke the stones.,q8,5,5,6,4,6,4,2,5,6,3,6,5,5,3,1,2,6,7,3,3,3,2,6,5,2,6,4
radio,I felt that my own body could have been affected by the virtual world.,q9,5,6,6,6,5,3,3,4,5,2,6,5,6,5,7,3,6,7,3,3,3,1,6,5,6,6,4
radio,I felt as if the virtual body was my body.,q10,5,4,6,5,5,2,2,5,4,2,5,3,6,5,6,2,5,7,4,2,1,1,6,4,4,6,3
radio,It felt that the virtual body resembled my own (real) body in terms of shape/skin tone/other visual features.,q11,5,7,7,6,7,5,5,6,6,3,6,6,6,6,6,3,6,7,3,4,3,1,6,6,5,6,4
radio,I felt as if my body was located where I saw the virtual body,q12,5,6,6,6,6,5,4,7,5,3,7,6,6,6,7,5,7,7,6,5,4,2,6,6,5,7,5
radio,I felt like I could control the virtual body as if it was my own body.,q13,5,6,7,6,5,5,2,5,5,2,6,6,6,5,7,4,3,7,5,5,4,1,5,3,4,6,5
radio,It seemed as if I felt the touch of the stones in the location where I saw the virtual hands touched.,q14,5,5,6,5,5,4,2,5,5,2,6,5,6,4,1,4,3,6,5,4,5,1,6,5,5,7,5
radio,It seemed as if the touch I felt was caused by the stones touching the virtual hands.,q15,5,7,2,6,5,5,5,7,6,5,7,6,6,6,1,3,4,7,6,5,4,2,6,6,5,7,4

